t,ax,ay,az,gx,gy,gz
2.8683931827545166,-8612,8646,3381,32706,-22870,32767
2.880309820175171,-2839,11446,3641,32767,-26286,32767
2.8922533988952637,968,12902,2600,32763,-20962,32767
2.9041926860809326,-2543,15713,2450,32767,-18439,32767
2.9161312580108643,-3367,15712,3413,32767,-19290,32767
2.9280924797058105,-4018,14133,800,32767,-21039,32767
2.9400033950805664,1884,9611,-489,32767,-25789,32767
2.9519405364990234,-757,10097,-690,32767,-23358,32767
2.963873863220215,-8049,10446,1678,32767,-32768,32753
2.9758059978485107,-7290,27798,2062,32767,-32768,32767
2.9877355098724365,-3985,21449,-5236,32767,-32620,32767
2.999636173248291,9449,8939,-16479,32767,-32768,32767
3.011568784713745,5486,14590,-17418,27537,-32768,32767
3.0234932899475098,5727,16149,-8292,-3234,-32768,31418
3.035449981689453,30657,8924,-5859,11537,-32768,14176
3.0473716259002686,25275,22345,-846,20376,-32768,12143
3.0592870712280273,5411,20795,-2150,15942,-31307,-634
3.071232318878174,1043,16180,-3525,16837,-32180,-2170
3.083176612854004,4233,20961,-10025,13304,-32764,3744
3.0951039791107178,9625,15756,-14412,8777,-32751,1464
3.107036828994751,10976,15710,-11643,6952,-32768,7028
3.11892032623291,11014,17853,-9200,5170,-31213,12168
3.1308653354644775,13633,20066,-7768,1751,-21319,10360
3.1428065299987793,8270,18971,-6130,-4553,-7422,5672
3.154743194580078,-3603,16324,-3514,-16184,-3779,2234
3.166701316833496,-3740,15817,-2681,-22076,-10522,5115
3.1786022186279297,-1045,14554,-3814,-27243,-16106,6971
3.1906027793884277,1089,14452,-3772,-30540,-17850,7619
3.202542304992676,2928,13777,-5142,-32768,-16188,12055
3.2144792079925537,1964,15334,-8449,-30608,-7143,18087
3.2264063358306885,-1158,15824,-8262,-28811,-6678,21354
3.2383902072906494,1547,16570,-6025,-24846,-13002,22568
3.250325918197632,7762,17568,-3011,-20903,-16710,21001
3.262265920639038,11206,17613,-943,-19661,-12230,22344
3.2741923332214355,7300,18812,-1767,-17767,1268,15724
3.2861225605010986,4793,16963,-2497,-20111,4510,12574
3.2980098724365234,1299,13256,-3192,-21378,5192,10084
3.3099496364593506,-646,12562,-5909,-19308,879,8911
3.3218753337860107,3206,12845,-6692,-16597,-5969,7628
3.3338069915771484,8740,15361,-6312,-14530,-7621,6521
3.3457462787628174,12272,17512,-2962,-15709,2304,1111
3.357635259628296,12868,18703,-1741,-17037,7903,803
3.3695626258850098,10033,18306,-4041,-18754,13939,-2452
3.3815062046051025,14358,23485,6525,-24091,16740,3617
3.393446445465088,22736,21460,2886,-32768,28583,7728
3.405383348464966,4856,17958,-3788,-30599,32706,15471
3.417280673980713,2762,16840,-1871,-31189,32645,3575
3.429222583770752,3604,9637,-1609,-30750,32651,3090
3.441187858581543,5330,15160,102,-25376,29392,9192
3.453124761581421,5639,15262,2251,-25427,25066,3309
